Version 4
SHEET 1 6472 2408
WIRE -416 -1680 -416 -1696
WIRE 416 -1664 352 -1664
WIRE 560 -1648 496 -1648
WIRE 640 -1648 560 -1648
WIRE 560 -1616 560 -1648
WIRE -592 -1584 -624 -1584
WIRE -416 -1584 -416 -1616
WIRE -416 -1584 -464 -1584
WIRE -400 -1584 -416 -1584
WIRE -288 -1584 -320 -1584
WIRE 16 -1584 -16 -1584
WIRE 304 -1584 272 -1584
WIRE 1024 -1568 1024 -1632
WIRE -624 -1504 -624 -1584
WIRE -544 -1504 -624 -1504
WIRE -464 -1504 -544 -1504
WIRE -320 -1504 -320 -1584
WIRE -320 -1504 -384 -1504
WIRE -240 -1504 -320 -1504
WIRE -160 -1504 -240 -1504
WIRE -16 -1504 -16 -1584
WIRE -16 -1504 -80 -1504
WIRE 64 -1504 -16 -1504
WIRE 112 -1504 64 -1504
WIRE 272 -1504 272 -1584
WIRE 272 -1504 192 -1504
WIRE 352 -1504 352 -1664
WIRE 352 -1504 272 -1504
WIRE 352 -1488 352 -1504
WIRE 560 -1488 560 -1536
WIRE -544 -1472 -544 -1504
WIRE -240 -1472 -240 -1504
WIRE 64 -1472 64 -1504
WIRE 272 -1456 272 -1504
WIRE 1024 -1440 1024 -1488
WIRE 352 -1392 352 -1408
WIRE 560 -1392 560 -1408
WIRE 640 -1392 560 -1392
WIRE 704 -1392 704 -1648
WIRE -544 -1376 -544 -1408
WIRE -240 -1376 -240 -1408
WIRE 64 -1376 64 -1408
WIRE 272 -1376 272 -1392
WIRE 560 -1376 560 -1392
WIRE -208 -1104 -256 -1104
WIRE 80 -1088 -128 -1088
WIRE 208 -1088 80 -1088
WIRE 336 -1088 288 -1088
WIRE 1360 -1088 400 -1088
WIRE 80 -1024 80 -1088
WIRE 992 -1024 736 -1024
WIRE 256 -1008 160 -1008
WIRE 336 -1008 336 -1088
WIRE 736 -992 736 -1024
WIRE 2288 -960 2288 -1040
WIRE 816 -944 784 -944
WIRE 944 -944 896 -944
WIRE 192 -928 96 -928
WIRE 240 -928 192 -928
WIRE 304 -928 240 -928
WIRE 320 -928 304 -928
WIRE 432 -928 384 -928
WIRE 528 -928 432 -928
WIRE 688 -928 608 -928
WIRE 992 -912 992 -1024
WIRE 1152 -912 992 -912
WIRE 1360 -912 1360 -1088
WIRE 1360 -912 1280 -912
WIRE 1488 -912 1360 -912
WIRE 1520 -912 1488 -912
WIRE -448 -880 -496 -880
WIRE -224 -880 -384 -880
WIRE -208 -880 -224 -880
WIRE -96 -880 -160 -880
WIRE 48 -880 -96 -880
WIRE 704 -848 704 -880
WIRE 192 -832 192 -864
WIRE 240 -832 240 -848
WIRE 240 -832 192 -832
WIRE 2272 -816 2272 -880
WIRE 2272 -816 2080 -816
WIRE 2304 -816 2304 -880
WIRE 2352 -816 2304 -816
WIRE 304 -800 304 -928
WIRE 1520 -800 1520 -912
WIRE -256 -752 -256 -1104
WIRE -256 -752 -544 -752
WIRE -224 -752 -256 -752
WIRE -96 -752 -96 -800
WIRE -96 -752 -144 -752
WIRE -48 -752 -96 -752
WIRE 64 -752 64 -832
WIRE 64 -752 32 -752
WIRE 240 -752 240 -832
WIRE 240 -752 208 -752
WIRE 432 -752 432 -848
WIRE 432 -752 400 -752
WIRE 704 -752 704 -768
WIRE 704 -752 672 -752
WIRE 944 -752 944 -944
WIRE 944 -752 912 -752
WIRE 1152 -752 1120 -752
WIRE -544 -736 -544 -752
WIRE 704 -736 704 -752
WIRE 2080 -736 2080 -816
WIRE 2352 -736 2352 -816
WIRE -96 -704 -96 -752
WIRE 64 -672 64 -752
WIRE 240 -672 240 -752
WIRE 240 -672 176 -672
WIRE -544 -656 -544 -672
WIRE 240 -656 240 -672
WIRE 432 -656 432 -752
WIRE 176 -640 176 -672
WIRE -256 -624 -256 -752
WIRE -224 -624 -256 -624
WIRE -96 -624 -160 -624
WIRE 48 -624 -96 -624
WIRE 704 -624 704 -656
WIRE 1152 -592 992 -592
WIRE 1520 -592 1520 -720
WIRE 1520 -592 1280 -592
WIRE -256 -576 -256 -624
WIRE 176 -576 96 -576
WIRE 240 -576 176 -576
WIRE 304 -576 304 -736
WIRE 304 -576 240 -576
WIRE 320 -576 304 -576
WIRE 432 -576 384 -576
WIRE 528 -576 432 -576
WIRE 688 -576 608 -576
WIRE 2080 -576 2080 -656
WIRE 2352 -576 2352 -656
WIRE 816 -560 784 -560
WIRE 944 -560 944 -752
WIRE 944 -560 896 -560
WIRE 1520 -560 1520 -592
WIRE -544 -544 -544 -576
WIRE -496 -544 -496 -608
WIRE -496 -544 -544 -544
WIRE -544 -496 -544 -544
WIRE -256 -496 -544 -496
WIRE -256 -480 -256 -496
WIRE 736 -480 736 -512
WIRE 992 -480 992 -592
WIRE 992 -480 736 -480
WIRE -448 -192 -448 -224
WIRE 1120 -128 1120 -144
WIRE 1120 -128 1040 -128
WIRE 1504 -128 1120 -128
WIRE 1616 -128 1504 -128
WIRE 2016 -128 2016 -160
WIRE 2288 -128 2016 -128
WIRE 1040 -112 1040 -128
WIRE -448 -96 -448 -112
WIRE -352 -96 -448 -96
WIRE -112 -96 -288 -96
WIRE -32 -96 -48 -96
WIRE -448 -80 -448 -96
WIRE -32 -80 -32 -96
WIRE 32 -80 -32 -80
WIRE 1504 -80 1504 -128
WIRE 1616 -80 1616 -128
WIRE 32 -64 32 -80
WIRE -560 -32 -608 -32
WIRE -496 -32 -560 -32
WIRE 1040 -32 1040 -48
WIRE 2016 -32 2016 -48
WIRE 2144 -32 2016 -32
WIRE -560 -16 -560 -32
WIRE -112 -16 -112 -96
WIRE -32 -16 -32 -80
WIRE 1120 -16 1120 -48
WIRE 1216 -16 1120 -16
WIRE 1424 -16 1360 -16
WIRE 2016 -16 2016 -32
WIRE 2288 -16 2288 -128
WIRE 816 0 336 0
WIRE 1120 0 1120 -16
WIRE 1616 0 1616 -16
WIRE 1504 32 1504 0
WIRE 1680 32 1504 32
WIRE 1792 32 1744 32
WIRE 1856 32 1792 32
WIRE 1968 32 1936 32
WIRE 2144 32 2144 -32
WIRE 2240 32 2144 32
WIRE -112 48 -112 -16
WIRE -32 48 -48 48
WIRE 816 48 816 0
WIRE 848 48 816 48
WIRE 976 48 928 48
WIRE 1072 48 976 48
WIRE -480 80 -480 16
WIRE -400 80 -480 80
WIRE -32 80 -32 48
WIRE 16 80 16 16
WIRE 16 80 -32 80
WIRE 64 80 16 80
WIRE 1424 80 1424 -16
WIRE 1424 80 1392 80
WIRE 1456 80 1424 80
WIRE 1792 80 1792 32
WIRE 976 96 976 48
WIRE -112 128 -112 48
WIRE -112 128 -176 128
WIRE -32 128 -32 80
WIRE 1392 128 1392 80
WIRE 2256 128 2256 80
WIRE 2432 128 2256 128
WIRE 1088 144 1088 96
WIRE 1184 144 1088 144
WIRE 1984 144 1984 80
WIRE 2064 144 1984 144
WIRE 2256 144 2256 128
WIRE -400 160 -400 144
WIRE -288 160 -400 160
WIRE 1088 160 1088 144
WIRE -400 176 -400 160
WIRE 64 176 64 80
WIRE 160 176 64 176
WIRE 1472 176 1472 128
WIRE -288 192 -288 160
WIRE -176 192 -176 128
WIRE 160 208 160 176
WIRE 240 208 160 208
WIRE 1184 224 1184 208
WIRE 1296 224 1184 224
WIRE 2064 224 2064 208
WIRE 2176 224 2064 224
WIRE 160 240 160 208
WIRE 1184 240 1184 224
WIRE 2064 240 2064 224
WIRE 1296 256 1296 224
WIRE 2176 256 2176 224
WIRE -560 272 -560 64
WIRE -480 272 -480 160
WIRE -480 272 -560 272
WIRE -400 272 -400 256
WIRE -400 272 -480 272
WIRE -304 272 -400 272
WIRE -176 272 -304 272
WIRE -560 288 -560 272
WIRE 240 288 240 272
WIRE 240 288 208 288
WIRE 336 288 336 0
WIRE 336 288 240 288
WIRE 160 336 160 320
WIRE 976 336 976 160
WIRE 1088 336 1088 240
WIRE 1088 336 976 336
WIRE 1184 336 1184 320
WIRE 1184 336 1088 336
WIRE 1280 336 1184 336
WIRE 1392 336 1392 208
WIRE 1392 336 1280 336
WIRE 1472 336 1472 256
WIRE 1472 336 1392 336
